mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-09-10 03:29:00.180907008,69.1117,-49.4604,7133.0,55.0,-4959.0,57.4,5128.0,53.1,5,S,2B,3413
2018-09-20 03:29:10.180916992,69.1117,-49.4604,6910.0,73.0,-4724.0,67.2,5043.0,78.5,5,S,2B,3413
2017-06-06 15:19:11.170526976,69.1117,-49.4604,5850.0,62.0,-4141.0,53.5,4132.0,69.3,20,S,2A,3413
1990-11-07 14:15:06.752788992,69.1117,-49.4604,839.0,22.0,-839.0,21.7,22.0,14.1,240,L,5,3413
2022-05-09 03:18:05.220506112,69.1117,-49.4604,6576.0,95.0,-4370.0,78.5,4915.0,106.1,5,S,2B,3413
1985-05-15 14:36:55.439065984,69.1117,-49.4604,3967.0,385.0,-2711.0,262.9,2896.0,466.0,15,L,5,3413
2020-05-16 15:19:16.200510976,69.1117,-49.4604,6250.0,79.0,-4318.0,62.5,4518.0,91.5,10,S,2A,3413
2021-10-03 15:19:54.210928128,69.1117,-49.4604,9199.0,43.0,-6098.0,37.6,6888.0,46.8,10,S,2B,3413
2000-08-03 02:42:56.314423040,69.1117,-49.4604,4919.0,60.0,-3633.0,71.0,3316.0,43.6,23,L,7,3413
1992-04-26 14:18:41.650470016,69.1117,-49.4604,2925.0,157.0,-2161.0,135.7,1970.0,178.6,31,L,5,3413
1998-08-26 14:27:13.932401024,69.1117,-49.4604,4915.0,73.0,-3751.0,74.0,3177.0,71.1,32,L,5,3413
2019-05-06 09:52:04.690333952,69.1117,-49.4604,6042.0,60.0,-4106.0,37.3,4433.0,74.0,6,S,1B,3413
2022-01-23 15:09:21.210929920,69.1117,-49.4604,345.0,6.0,-333.0,5.5,-89.0,11.1,229,S,2A,3413
2017-12-15 15:09:09.170827264,69.1117,-49.4604,371.0,5.0,-367.0,4.6,-52.0,7.8,220,S,2B,3413
2018-02-19 20:46:44.991997952,69.1117,-49.4604,6321.0,254.0,-4202.0,361.2,4722.0,112.1,5,S,1A,3413
2019-05-17 03:08:40.190509056,69.1117,-49.4604,6116.0,45.0,-4238.0,42.2,4410.0,47.4,15,S,2B,3413
2017-12-27 20:46:46.534249984,69.1117,-49.4604,6743.0,276.0,-4488.0,397.9,5033.0,102.5,6,S,1B,3413
2017-06-22 03:31:45.170300928,69.1117,-49.4604,384.0,4.0,-378.0,4.2,-66.0,7.4,225,S,2A,3413
2021-03-23 20:47:03.895507968,69.1117,-49.4604,8177.0,427.0,-5371.0,641.2,6165.0,92.5,5,S,1A,3413
2022-08-17 15:28:09.220806912,69.1117,-49.4604,8182.0,19.0,-5625.0,14.6,5942.0,22.8,20,S,2B,3413
2019-06-06 15:18:09.190501888,69.1117,-49.4604,2086.0,23.0,1360.0,20.2,1582.0,25.3,70,S,2B,3413
1998-06-18 02:35:27.781641984,69.1117,-49.4604,3421.0,134.0,-2796.0,131.8,1971.0,137.4,24,L,5,3413
2019-06-14 20:46:55.253033984,69.1117,-49.4604,7192.0,33.0,-5046.0,20.2,5125.0,41.1,5,S,1A,3413
2017-12-09 20:46:47.189786112,69.1117,-49.4604,7161.0,280.0,-4776.0,401.0,5336.0,110.5,5,S,1A,3413
2018-08-27 20:46:32.648083968,69.1117,-49.4604,6936.0,28.0,-4817.0,14.4,4991.0,36.5,12,S,1B,3413
2020-07-22 10:00:24.205520128,69.1117,-49.4604,9624.0,65.0,-6471.0,36.4,7124.0,80.8,5,S,1A,3413
2018-12-21 15:28:14.180729088,69.1117,-49.4604,435.0,3.0,-427.0,3.1,-83.0,6.0,290,S,2B,3413
2019-12-18 03:08:40.190827008,69.1117,-49.4604,407.0,4.0,-401.0,4.0,-71.0,5.9,225,S,2B,3413
2002-04-12 14:55:36.562862976,69.1117,-49.4604,4640.0,57.0,-3657.0,47.4,2854.0,68.9,32,L,7,3413
2019-06-08 15:08:09.190509056,69.1117,-49.4604,3472.0,25.0,2462.0,19.3,-2448.0,29.0,60,S,2B,3413
1985-04-14 14:30:54.476366976,69.1117,-49.4604,3384.0,138.0,-2632.0,123.9,2127.0,157.2,31,L,5,3413
2019-06-21 15:19:11.190616064,69.1117,-49.4604,7305.0,24.0,-5000.0,23.2,5325.0,23.8,10,S,2A,3413
2022-01-14 03:18:10.210917888,69.1117,-49.4604,347.0,6.0,-331.0,5.5,-104.0,9.4,235,S,2B,3413
2019-09-30 09:51:58.563782912,69.1117,-49.4604,7904.0,357.0,-5380.0,522.0,5790.0,52.8,12,S,1B,3413
2020-08-13 09:52:30.905161728,69.1117,-49.4604,9660.0,25.0,-6479.0,12.8,7165.0,31.3,12,S,1A,3413
2018-05-30 03:18:35.180517120,69.1117,-49.4604,5545.0,49.0,-3930.0,41.3,3912.0,55.9,25,S,2B,3413
1992-03-30 02:15:49.401811968,69.1117,-49.4604,3723.0,147.0,-3094.0,155.3,2070.0,128.2,40,L,5,3413
2020-09-26 03:19:55.200912896,69.1117,-49.4604,8024.0,45.0,-5682.0,32.7,5666.0,55.2,25,S,2B,3413
1991-09-07 14:17:08.137353984,69.1117,-49.4604,749.0,9.0,-748.0,9.5,-50.0,8.9,368,L,5,3413
2006-08-06 14:50:17.747674112,69.1117,-49.4604,7533.0,108.0,-5305.0,125.1,5348.0,87.4,14,L,7,3413
2019-06-29 03:18:40.190616064,69.1117,-49.4604,7341.0,10.0,-5198.0,8.7,5184.0,11.1,24,S,2A,3413
2019-06-26 09:51:53.598240000,69.1117,-49.4604,7526.0,19.0,-5092.0,10.1,5542.0,23.9,12,S,1B,3413
2020-06-16 10:00:22.098705920,69.1117,-49.4604,7896.0,51.0,-5223.0,32.1,5922.0,62.2,5,S,1A,3413
2019-03-16 03:20:25.181018880,69.1117,-49.4604,458.0,3.0,-448.0,2.9,-94.0,4.1,294,S,2A,3413
2017-12-28 03:09:10.170905856,69.1117,-49.4604,364.0,5.0,-360.0,5.0,-51.0,8.2,225,S,2B,3413
2022-06-17 15:11:36.220227072,69.1117,-49.4604,355.0,4.0,-350.0,3.7,-58.0,6.0,219,S,2A,3413
2020-01-05 03:18:35.190904064,69.1117,-49.4604,408.0,4.0,-397.0,4.2,-93.0,7.1,244,S,2A,3413
2020-02-29 03:21:00.191029248,69.1117,-49.4604,410.0,4.0,-399.0,3.9,-94.0,7.6,244,S,2B,3413
2021-02-06 03:29:50.201006080,69.1117,-49.4604,401.0,8.0,-375.0,7.7,-142.0,9.6,244,S,2B,3413
1993-04-20 14:22:58.933442048,69.1117,-49.4604,3106.0,122.0,-2507.0,120.2,1833.0,126.5,32,L,5,3413
2019-09-09 09:52:11.884162048,69.1117,-49.4604,7639.0,718.0,-5321.0,1020.6,5481.0,143.8,5,S,1A,3413
2019-08-07 20:46:58.738500096,69.1117,-49.4604,7334.0,36.0,-4938.0,22.5,5423.0,44.7,6,S,1B,3413
2019-02-11 03:10:45.180911104,69.1117,-49.4604,460.0,2.0,-450.0,1.6,-93.0,2.3,304,S,2B,3413
2018-01-20 15:29:54.171002112,69.1117,-49.4604,381.0,5.0,-376.0,4.8,-64.0,8.3,219,S,2B,3413
2018-06-24 03:18:35.180611072,69.1117,-49.4604,5672.0,56.0,-4075.0,43.8,3945.0,66.5,24,S,2A,3413
2017-09-11 15:09:04.170906112,69.1117,-49.4604,7607.0,74.0,-5133.0,95.1,5615.0,50.8,9,S,2B,3413
